103993,4737031111117140
103994,5507471111112000
103995,4563671111113460
103996,5378031111112200
103997,6011001111115750
103998,5287261111112370
103999,5424321111117330
104000,4833141111118530
104001,4060321111113820
104002,4737031111110200
104003,6011001111114310
104004,6004861111111110000
104005,4121411111113230
104006,4342581111113040
104007,4412971111110220
104008,4400661111119750
104009,4266841111113860
104010,4815821111117140
104011,4342581111119080
104012,5239141111118800
104013,4744761111117450
104014,4240181111112680
104015,4266841111116500
104016,377267111112006
104017,4147201111115720
104018,4147091111110520
104019,5461881111118880
104020,5146561111112350
104021,5275111111190280
104022,5516861111114550
104023,4207671111116330
104024,4185871111117240
104025,4737021111112100
104026,4737031111112260
104027,4400661111113700
104028,4586431111112710
104029,4134841111111750
104030,4147201111111310
104031,4833121111119420
104032,5076931111114930
104033,4912391111117410
104034,4342561111119580
104035,4737031111116050
104036,4701321111116030
104037,4430461111113450
104038,4833161111112460
104039,4426441111117730
104040,4400661111118160
104041,5312601111117290
104042,4147091111117460
104043,5081391111112830
104044,4037841111111700
104045,4266841111115850
104046,4586431111113400
104047,4342561111118900
104048,5466161111117650
104049,5424321111115530
104050,4342561111115790
104051,4737031111117780
104052,4029441111119280
104053,5107741111111700
104054,4342561111113920
104055,5312541111116660
104056,4737031111117650
104057,5110901111112040
104058,4400661111113560
104059,4815831111110330
104060,4300231111116610
104061,5576211111115190
104062,4104891111115530
104063,5403851111110200
104064,4733251111112810
104065,4264521111115550
104066,4207671111117550
104067,5175451111115390
104068,4833161111117130
104069,4127771111110690
104070,4246311111111430
104071,5466161111113290
104072,5178981111112460
104073,372108111111015
104074,5076831111112320
104075,4121381111111940
104076,4511401111116230
104077,372793111118005
104078,4147201111110230
104079,4479721111114440
104080,4423261111113500
104081,5108051111112300
104082,4400661111112520
104083,5507701111119170
104084,5446021111113860
104085,4147201111116260
104086,4116161111116830
104087,6011001111112260
104088,5112781111112790
104089,4147091111113860
104090,5466161111119410
104091,5424181111114350
104092,4159821111118300
104093,5524331111111720
104094,4342561111110830
104095,4610461111117060
104096,4100391111111910
104097,4930751111111320
104098,5112781111113660
104099,4023471111113430
104100,4943401111113110
104101,6011001111116380
104102,5594361111119240
104103,5262111111199790
104104,5424181111115560
104105,4833161111115420
104106,4744881111113510
104107,4430451111118580
104108,4338521111119080
104109,5443911111115530
104110,5107741111112730
104111,4430451111111920
104112,4147201111111720
104113,4430441111111440
104114,4306041111116350
104115,5109211111115010
104116,4736221111118430
104117,4610461111116640
104118,4147201111118470
104119,4000221111116950
104120,5114131111110900
104121,379773111111017
104122,5152481111115040
104123,5275201111115850
104124,4744721111110130
104125,372379111111012
104126,4465421111115790
104127,4610461111119800
104128,5291491111116340
104129,4334431111111040
104130,5108051111116930
104131,4155601111116180
104132,4300231111113360
104133,4737031111115080
104134,5396551111116160
104135,4011841111110220
104136,5466451111113640
104137,4347691111116040
104138,4815821111118650
104139,372722111111000
104140,4635891111116090
104141,4328611111117120
104142,4782001111115080
104143,5175461111111680
104144,4432641111112600
104145,4452181111113850
104146,5166291111115630
104147,4328621111118870
104148,4342561111111410
104149,4492391111113990
104150,4494971111116010
104151,4610461111112840
104152,6011201111116880
104153,4784331111112040
104154,5466161111110430
104155,4490391111115190
